40.9;40.9;40.9;40.9;40.9;38.5;38.3;52.7;52.7;52.7;52.7;52.7;50.8;49.5;46.3;46.3;46.3;46.3;46.3;43.6;43.3
43.1;43.1;43.1;43.1;43.1;39.1;38.4;55.6;55.6;55.6;55.6;55.6;50.9;48.9;48.9;48.9;48.9;48.9;48.9;44.2;43.3
47.7;47.7;47.7;47.7;47.7;40.3;38.7;60.5;60.5;60.5;60.5;60.5;51.6;48.4;53.7;53.7;53.7;53.7;53.7;45.4;43.2
55.8;55.8;55.8;55.8;55.8;42.4;39.1;68.2;68.2;68.2;68.2;68.2;53.3;48.3;61.6;61.6;61.6;61.6;61.6;47.4;43.3
68;68;68;68;68;45.6;39.7;79.2;79.2;79.2;79.2;79.2;56.2;48.7;72.9;72.9;72.9;72.9;72.9;50.5;43.5
82.8;82.8;82.8;82.8;82.8;49.9;40.4;92;92;92;92;92;60.4;49.8;86.3;86.3;86.3;86.3;86.3;54.9;44.3
98;98;98;98;98;55.3;41.3;104.7;104.7;104.7;104.7;104.7;65.8;51.9;100.1;100.1;100.1;100.1;100.1;60.7;46
111.5;111.5;111.5;111.5;111.5;61.6;42.4;115.7;115.7;115.7;115.7;115.7;72.4;54.9;112.4;112.4;112.4;112.4;112.4;68.2;49.1
121.6;121.6;121.6;121.6;121.6;68.9;44;123.5;123.5;123.5;123.5;123.5;80;59.2;121.8;121.8;121.8;121.8;121.8;77.5;53.9
128.5;128.5;128.5;128.5;128.5;77.1;46.6;128.6;128.6;128.6;128.6;128.6;88.5;64.9;128.5;128.5;128.5;128.5;128.5;87.9;60.4
132.7;132.7;132.7;132.7;132.7;86.1;51.1;132;132;132;132;132;97.4;72.3;132.9;132.9;132.9;132.9;132.9;98.6;68.8
134.8;134.8;134.8;134.8;134.8;95.7;58.3;134.8;134.8;134.8;134.8;134.8;106.5;81.6;135.7;135.7;135.7;135.7;135.7;109;79.1
135.4;135.4;135.4;135.4;135.4;105.8;68.6;137.8;137.8;137.8;137.8;137.8;115.6;92.9;137.2;137.2;137.2;137.2;137.2;118.4;91.1
134.8;134.8;134.8;134.8;134.8;115.8;81.3;140.7;140.7;140.7;140.7;140.7;124.4;105.6;137.7;137.7;137.7;137.7;137.7;126.7;104.3
133.1;133.1;133.1;133.1;133.1;124.9;95.2;143.2;143.2;143.2;143.2;143.2;132.8;119;137.7;137.7;137.7;137.7;137.7;133.8;118
130.7;130.7;130.7;130.7;130.7;132.3;109;144.8;144.8;144.8;144.8;144.8;140.7;132.3;137.3;137.3;137.3;137.3;137.3;139.8;131.5
127.7;127.7;127.7;127.7;127.7;137.6;121.9;145.3;145.3;145.3;145.3;145.3;147.8;144.8;136.9;136.9;136.9;136.9;136.9;144.7;144.2
124.6;124.6;124.6;124.6;124.6;141.1;133.7;144.9;144.9;144.9;144.9;144.9;154;156.2;136.4;136.4;136.4;136.4;136.4;148.8;155.5
121.5;121.5;121.5;121.5;121.5;143.3;144.4;143.8;143.8;143.8;143.8;143.8;158.9;166;135.7;135.7;135.7;135.7;135.7;152.4;165.3
119;119;119;119;119;144.8;154;142.3;142.3;142.3;142.3;142.3;162.3;174;134.8;134.8;134.8;134.8;134.8;155.6;173.1
117.3;117.3;117.3;117.3;117.3;146;162.6;140.8;140.8;140.8;140.8;140.8;164.1;180;133.7;133.7;133.7;133.7;133.7;158.9;178.8
116.2;116.2;116.2;116.2;116.2;147.2;170.5;139.5;139.5;139.5;139.5;139.5;164.7;184.6;132.4;132.4;132.4;132.4;132.4;162;183.1
115.7;115.7;115.7;115.7;115.7;148.4;178;138.5;138.5;138.5;138.5;138.5;165;188.7;131.4;131.4;131.4;131.4;131.4;164.9;187
115.7;115.7;115.7;115.7;115.7;149.8;185.6;138.2;138.2;138.2;138.2;138.2;165.6;193.1;130.7;130.7;130.7;130.7;130.7;167.3;191.4
116.1;116.1;116.1;116.1;116.1;151.5;193.3;138.6;138.6;138.6;138.6;138.6;167.1;198.3;130.6;130.6;130.6;130.6;130.6;169.2;197
117;117;117;117;117;153.5;200.6;140.1;140.1;140.1;140.1;140.1;169.4;203.7;131.5;131.5;131.5;131.5;131.5;170.8;203
118.7;118.7;118.7;118.7;118.7;156;206.6;142.6;142.6;142.6;142.6;142.6;172.4;208.7;133.6;133.6;133.6;133.6;133.6;172.5;208.5
121.5;121.5;121.5;121.5;121.5;159;210.6;146.5;146.5;146.5;146.5;146.5;175.6;212.2;137.3;137.3;137.3;137.3;137.3;174.8;212.2
125.4;125.4;125.4;125.4;125.4;162.4;211.8;151.5;151.5;151.5;151.5;151.5;179;213.7;142.6;142.6;142.6;142.6;142.6;177.7;213.5
129.6;129.6;129.6;129.6;129.6;165.8;210.2;156.7;156.7;156.7;156.7;156.7;181.9;212.8;148.2;148.2;148.2;148.2;148.2;180.8;211.8
